Type,Submitted/Started,Submitted By,Priority,Title,Description,Status,Progress %,Complexity,Target Completion,Assigned To,Blockers,Resolution/Notes,Last Updated
Future Feature,2025-01-28,AI Code Review,Low,Dark Mode Support,Add dark theme option to reduce eye strain.,Planned,0,Simple,Q2 2025,Dev Team,,Create DARK_COLORS constant; apply theme to all sheets,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Add Email Validation,Validate email format phone format and date ranges to ensure cleaner data.,Planned,0,Simple,Q1 2025,Dev Team,,Use requireTextMatchesPattern for email/phone validation,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Implement Change Tracking,Track all data modifications with audit trail showing timestamp user field old/new values.,Planned,0,Moderate,Q1 2025,Dev Team,,Create onEdit trigger to log changes to Change Log sheet,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Add Duplicate Detection,Prevent duplicate member IDs and grievance IDs with auto-generation of next available ID.,Planned,0,Simple,Q1 2025,Dev Team,,Check existing IDs before insertion; show warning dialog on duplicate,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,Data Quality Dashboard,Monitor data completeness with percentage of required fields filled and quality score.,Planned,0,Moderate,Q2 2025,Dev Team,,Show data quality metrics; highlight missing critical data,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,Referential Integrity Checks,Validate foreign keys to ensure Member IDs exist before creating grievances.,Planned,0,Moderate,Q2 2025,Dev Team,,Check Member ID existence; validate Steward assignments; warn on orphaned records,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Automated Deadline Notifications,Email alerts for approaching deadlines with escalation to managers.,Planned,0,Moderate,Q1 2025,Dev Team,,Time-driven trigger (daily 8 AM); email stewards 7 days before; escalate 3 days before,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Batch Operations,Add bulk update capabilities (assign steward update status export PDF email).,Planned,0,Moderate,Q1 2025,Dev Team,,Create batch operation dialogs for common bulk tasks,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Automated Report Generation,Schedule monthly/quarterly reports with automatic generation and email distribution.,Planned,0,Moderate,Q1 2025,Dev Team,,Time-driven trigger (1st of month); generate PDF; email to leadership,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,Workflow State Machine,Enforce grievance workflow rules to ensure process compliance.,Planned,0,Complex,Q3 2025,Dev Team,,Define valid state transitions; block invalid changes; require notes,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,Smart Auto-Assignment,Intelligent steward assignment based on workload location expertise and availability.,Planned,0,Complex,Q3 2025,Dev Team,,Balance workload; match by location/unit; consider expertise,2025-01-28
Future Feature,2025-01-28,AI Code Review,Low,Template System,Pre-built grievance templates for common issue types with auto-fill capabilities.,Planned,0,Moderate,Q4 2025,Dev Team,,Create template library; customizable placeholders,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,Predictive Analytics,Predict grievance outcomes based on historical patterns and similar cases.,Planned,0,Complex,Q3 2025,Data Team,,Analyze win/loss patterns; identify success factors; provide risk scores,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Trend Analysis & Forecasting,Identify patterns over time with month-over-month comparisons and volume forecasting.,Planned,0,Moderate,Q2 2025,Dev Team,,Month-over-month comparisons; seasonal patterns; early warning system,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,Custom Report Builder,User-defined reports with drag-and-drop field selection and custom filters.,Planned,0,Complex,Q3 2025,Dev Team,,Build report designer interface; save templates; schedule recurring reports,2025-01-28
Future Feature,2025-01-28,AI Code Review,Low,Benchmark Comparisons,Compare performance against industry standards with percentile rankings.,Planned,0,Moderate,Q4 2025,Data Team,,Upload benchmark data; side-by-side comparisons; gap analysis,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,Root Cause Analysis,Identify systemic issues by clustering similar grievances and analyzing common factors.,Planned,0,Complex,Q3 2025,Data Team,,Cluster analysis; correlation visualization; intervention recommendations,2025-01-28
Future Feature,2025-01-28,AI Code Review,Low,Real-Time Dashboard Updates,Live data refresh with auto-update every 5 minutes.,Planned,0,Moderate,Q4 2025,Dev Team,,Update dashboards on data change; WebSocket-style updates via triggers,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Google Calendar Integration,Sync deadlines to Google Calendar with color-coding by priority.,Planned,0,Moderate,Q1 2025,Dev Team,,Create calendar events for deadlines; update on status changes,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Email Integration (Gmail),Send/receive grievance emails with tracking and template library.,Planned,0,Moderate,Q1 2025,Dev Team,,Email PDFs directly; track opens; auto-log communications,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Google Drive Integration,Attach documents to grievances with version control and auto-organization.,Planned,0,Moderate,Q2 2025,Dev Team,,Link Drive folders; upload evidence; organize by grievance ID,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,Slack/Teams Integration,Real-time notifications with bot commands for quick queries.,Planned,0,Moderate,Q2 2025,Dev Team,,Post updates to channels; notify on deadlines; allow status updates from chat,2025-01-28
Future Feature,2025-01-28,AI Code Review,Low,API Layer,RESTful API for external access with authentication.,Planned,0,Complex,Q4 2025,Dev Team,,Google Apps Script Web App; GET/POST/PUT endpoints; API key auth,2025-01-28
Future Feature,2025-01-28,AI Code Review,Low,Zapier/Make.com Integration,Connect to 1000+ apps via webhooks.,Planned,0,Moderate,Q4 2025,Dev Team,,Webhooks for data changes; trigger actions in other apps,2025-01-28
Future Feature,2025-01-28,AI Code Review,Low,Progressive Web App (PWA),Install as app on mobile devices for native experience.,Planned,0,Complex,Q4 2025,Dev Team,,HTML service interface; manifest.json; service worker; responsive design,2025-01-28
Future Feature,2025-01-28,AI Code Review,Low,Offline Mode,Work without internet with local storage cache and sync.,Planned,0,Very Complex,Q4 2025,Dev Team,,Local storage cache; sync when online; conflict resolution,2025-01-28
Future Feature,2025-01-28,AI Code Review,Low,SMS Notifications,Text alerts for critical items via Twilio integration.,Planned,0,Moderate,Q4 2025,Dev Team,,Twilio integration; SMS for overdue; opt-in/opt-out management,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Role-Based Access Control (RBAC),Implement permission levels (Admin Steward Member Viewer).,Planned,0,Complex,Q2 2025,Security Team,,Define role permissions; protect sensitive operations,2025-01-28
Future Feature,2025-12-07,User Request,High,Smart Member Import Feature,Create an import feature that smartly imports member log information from another uploaded document. Should parse and map fields intelligently from CSV/Excel uploads.,Planned,0,Complex,Q1 2026,Dev Team,,Support CSV and Excel; field mapping UI; duplicate detection; preview before import,2025-12-07
Future Feature,2025-12-07,User Request,High,Nuke Safety Mode - Data Protection,When nuke is enabled and data cleaned: prevent bulk data deletion or alteration in Grievance Log and Member Directory. New data entry still permitted. Protects production data from accidental mass changes.,Planned,0,Moderate,Q1 2026,Security Team,,Add NUKE_SAFETY_MODE flag; block batch delete/edit operations; allow single-row inserts,2025-12-07
Future Feature,2025-01-28,AI Code Review,High,Audit Logging,Track all access and changes with 7-year retention.,Planned,0,Moderate,Q2 2025,Security Team,,Log opens and modifications; store IP timestamp user,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,PII Protection,Protect sensitive member data with encryption and masking.,Planned,0,Complex,Q2 2025,Security Team,,Encrypt sensitive fields; mask in exports; GDPR/CCPA compliance,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,Data Backup & Recovery,Automated backups with one-click restore.,Planned,0,Moderate,Q2 2025,Dev Team,,Daily backup to separate sheet; 30-day version history; export to Drive,2025-01-28
Future Feature,2025-01-28,AI Code Review,Low,Session Management,Track active users with row locking and concurrent edit warnings.,Planned,0,Moderate,Q3 2025,Dev Team,,Show current viewers; lock rows being edited; session timeout,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Interactive Tutorial,In-app guided tour for first-time users.,Planned,0,Moderate,Q1 2025,UX Team,,Walkthrough; highlight features; interactive steps,2025-01-28
Future Feature,2025-01-28,AI Code Review,High,Video Tutorials,Screen recordings for common tasks (2-3 min each).,Planned,0,Simple,Q1 2025,UX Team,,Creating grievance; running reports; managing workload; using dashboard,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,Context-Sensitive Help,Help button on each sheet with explanations and links.,Planned,0,Simple,Q2 2025,UX Team,,? icon on each sheet; explain purpose; list common tasks,2025-01-28
Future Feature,2025-01-28,AI Code Review,Medium,FAQ Database,Searchable knowledge base with voting and community contributions.,Planned,0,Moderate,Q2 2025,UX Team,,Categorize by topic; search functionality; vote on answers,2025-01-28
Future Feature,2025-01-28,AI Code Review,Low,Release Notes,Track version changes with auto-notification on updates.,Planned,0,Simple,Q2 2025,Dev Team,,Create CHANGELOG sheet; auto-notify; highlight new features,2025-01-28
